sentiment,input
Positive,Going to finish up Borderlands 2 today. I've got some new events set up and am look forward to a good stream! Starting in about 20 hour!
Positive,Going to finish finish cleaning up Borderlands 2 today. I've just got her some new commands set all up and am looking forward it to a good stream! Starting in about am hour!
Positive,Going to finish up volume 2 today. I've got some awesome server set up and is looking forward to a good stream! Starting in about am hour!
Positive,imma probably play some borderlands tps in a bit . that'll be fun
Positive,imma is probably playing a bit of borderland tps. That will be fun.
Positive,imma will probably play some border tps in a bit. It's going to be fun
Positive,imma probably play live borderlands tps in a bit. that'll be fun
Positive,for imma probably play some borderlands tps in a bit. that'yer ll be a fun
Positive,imma probably got some video tps in a bit. that'll make fun
Neutral,"One of our own @ProfZeroo is live w/ @borderlands 3‼.  .  . . Catch him here: buff.ly/2WmmiP5 . . Say ""Streamer Shouts"" in chat for a chance to be in a coming. @streamer_shouts Shout Out. . .  "
Neutral,"One of our own @ ProfZeroo is live w / @ borderlands 3.... catch him here: buff.ly / 2WmmiP5.. Say ""Streamer Shouts"" in chat for a chance to be in an upcoming one. @ streamer _ shouts Shout Out..."
Neutral,"One of our own @ ProfZero - live w / @ borderlands 3.... Catch him here: buff.ly / 2WmmiP5... Say ""Stream Shouts"" in chat for a chat for a chance to be in a coming. @ stream _ Shouts Shout Out...."
Neutral,"One of our own @ProfZeroo is live >/ @borderlands 3‼. . !. Catch him here: buff.ly/2WmmiP5 p. Say some Shouts"" in chat – a chance to be in a coming. Also Shout Out..."
Neutral,"One of our shows own @ProfZeroo is live via w / at @borderlands 3 and [UNK].... Catch him here : the buff. ly / to 2WmmiP5.. to Say "" Streamer Shouts "" in chat for a chance to officially be in a series coming. @streamer_shouts 1 Shout Out..."
Neutral,"One of its own movies is live w/ @ProfZeroo 3!!.... Catch him from: buff.ly/2WmmiP5.. for ""Streamer Shouts"" in invitation or a chance to be out a coming. All 3 invites..."
Positive,FUCK YESSSSSSSS . 
Positive,FICK YESSSSSS.
Positive,FUCK YESSSSSSSS.
Positive,FUCK YESSSSSSSS<unk>
Positive,A FUCK... YESSSSSSSS.
Positive,FUCK YOU.
Neutral,I hate that this easy mayhem modifier event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS
Neutral,I hate that this simple Chaos Modifier event on Chaos won't last forever. That's the most fun I've had in the game since they added terrible modifiers. @ Borderlands please give me the option to play Chaos 10 but turn off the modifiers.
Neutral,I hate that this easy mayhem modifier event on mayhem won't last forever. this is the most fun i've had in the game since they added them horrible modifiers. @ Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS
Neutral,I hate saying this easy day 9 event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me some ability to play mayhem 10 but turn the modifiers off PLS
Neutral,I hate thinking that this easy mayhem modifier event on total mayhem won ’ t last forever. this is the absolutely most ridiculous fun experience i ’ ve had in the game almost since... they added them horrible modifiers. @Borderlands please do give me the option option to a play mayhem 10 but turn the modifiers off PLS
Neutral,I hate that this easy horrible modifier event on game 10 last forever. That is the best fun i’ve taken in the past until they added them horrible modifiers. @Borderlands please send me the option to play mayhem 10 but turn the modifiers for PLS
Negative,Grounded almost looked pretty cool even despite the borderlands tier unfunny writing until it became yet another survival crafting game. I really can’t wait for this shitty trend to die
Negative,"Grounded looked cool despite the borderline unfunny writing, until it became another survival crafting game. I really can't wait for this crappy trend to die."
Negative,"Grosskreutz looked pretty cool, even despite the unfunny spelling, until it turned into another survival game. I really can't wait for this crap trend to die"
Negative,Grounded almost looked pretty cool here despite the borderlands tier unfunny writing until it became yet an survival crafting game. I really can’t wait for this shitty mod to die
Negative,Deep Grounded almost looked pretty cool even despite the borderlands fifth tier unfunny writing format until ultimately it became yet another survival crafting mobile game. I really can ’ t wait for this shitty trend starting to... die
Negative,Grounded almost was pretty cool even despite the top tier unfunny writing until we became yet another annoying crafting game. I seriously can’t wait on this shitty trend to die
Irrelevant,"Appreciate the (sonic) concepts / praxis Valenzuela and Landa-Posas thread together in this talk: multimodal listening, soundwalks, borderlands frameworks, participatory action research, and testimonios. . . So many thoughtful and resonant intersections here.. .  "
Irrelevant,"Appreciate the (sound) concepts / practices that Valenzuela and Landa-Posas combine in this lecture: multimodal listening, soundwalks, borderland frameworks, participatory action research and testimonies... So many thoughtful and resonant intersections here..."
Irrelevant,"Evaluate the (sound) concepts / concepts of Valensela and Landa Pozas together in this conversation: multimodal listening, walks, border areas, joint action studies, etc. So many amazing and resonant intersections here..."
Irrelevant,"Appreciate the (sonic) concepts / praxis Valenzuela and Moreno-Posas have together in this talk: multimodal listening, soundwalks, borderlands recordings, participatory field research, and testimonios.... So many thoughtful and resonant intersections here.. :-)"
Irrelevant,"Appreciate by the ( sonic ) electronic concepts / praxis Valenzuela and Landa - Posas do thread together together in creating this talk : multimodal visual listening, digital soundwalks, borderlands frameworks, participatory action research, interviews and testimonios... So many thoughtful thoughts and resonant intersections reflected here..."
Irrelevant,"Appreciate the (sonic) conversations / actions Klein and Landa-Posas brought together in our talk: multimodal experiences, soundwalks, ethical frameworks, participatory action practices, and testimonios... So many provocative and resonant intersections today..."
Negative,@Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.
Negative,"@ Borderlands, how can I file a complaint? Your CEO doesn't pay his employees their bonuses."
Negative,@ Borderlands how to file a complaint? Your CEO doesn't pay his employees bonuses.
Negative,@Borderlands how did I submit a complaint? Your CEO isn't paying his competitors their bonuses.
Negative,@Borderlands how do suppose I submit a complaint? Your CEO isn'ain t even paying his entire staff their bonuses.
Negative,Now how do I submit any complaint? Your CEO isn't offering his staff their bonuses.
Negative,All the Borderlands are fuckin trash
Negative,All the Borderlands are damn rubbish
Negative,All the borderlands are fucking thrash
Negative,All the Borderlands shit fuckin trash
Negative,35 All the Borderlands are fuckin trash
Negative,All the Borderlands are fuckin stupid
Positive,"Finally played through borderlands 3. The actual game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. That story on the other hand.... All I will say Is that I'm very much so looking forward to the eventual cutscene skip :)"
Positive,"Finally played by Borderlands 3. The actual game is great. Almost all weapons feel funny, and I never felt like I had to grind. On the other hand... All I will say is that I am very much looking forward to the eventual sequence skip:)"
Positive,This story on the other hand.... All I will say is that I'm looking forward to an occasional slip:)
Positive,"Finally played through borderlands 3. The open game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. The story on to another hand.... All I will say Is that I'm very much so looking forward to its eventual cutscene skip :)"
Positive,"Finally played through borderlands 3. The actual game I play is great. Almost all guns feel fun, and yet I never once felt much like someone I seriously needed to grind. That pretty story on the other side hand.... All I will say Is that I'm very damn much so forward looking forward to the eventual endless cutscene skip : )"
Positive,"Finally played through borderlands 5. The actual game play is great. Almost all guns were fun, and I never once felt sure I needed to grind. That story is the other hand.... but I will say now oh yes'm very much so looking forward to the extended cutscene skip :)"
Irrelevant,Loving these new @GhostLifestyle cans!! Anyone else drink Ghost?. .. .. . .  
Irrelevant,I love these new @ GhostLifestyle cans!! Everyone else drinks ghost?....
Irrelevant,Love these new @ GhostLive cans!! Does anyone else drink Ghost?..
Irrelevant,Loving these new @GhostLifestyle cans!! Anyone else drink Ghost?......
Irrelevant,Loving back these three new @GhostLifestyle cans!! By Anyone else else drink Ghost?.......
Irrelevant,do these new @GhostLifestyle<unk> They want drink Ghost?.......
Positive,Come meet one of the lovely Gaming Goddesses . 
Positive,Meet one of the lovely gambling goddesses.
Positive,Come meet one of the beautiful gods of gambling.
Positive,Come to one of the lovely Gaming Goddesses.
Positive,16 Come meet one of... the lovely Gaming Goddesses.
Positive,Come meet one of the lovely Green Goddesses.
Irrelevant,How the hell are we into Halloween month already?! . 
Irrelevant,How the hell are we already into Halloween month?!.
Irrelevant,How the hell are we already in Halloween month?!.
Irrelevant,How the hell are March into Halloween month already?!.
Irrelevant,How the hell are pulling we into Halloween month starting already?!.
Irrelevant,in the hell are we into Halloween month already?!.
Negative,"""What a bitch!"""
Negative,"""What a slut!"""
Negative,"""What a bitch!"""
Negative,"""What terrible bitch!"""
Negative,"""... What a bitch! """
Negative,"""What a miracle!"""
Positive,Ok I am LOVING THIS (also playing Bombs Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is A1!
Positive,Ok I'm LOVING THIS (also playing Bombs Over Baghdad in something gives me a hype) Very Borderlands like and the concept is A1!
Positive,Ok I am LOVING THIS (also playing Bombs Over Baghad in anything gets me here) Very Borderlands like and the concept is A1!
Positive,Ok I am LOVING THIS (also seeing Take Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is awesome!
Positive,Ok sir I am LOVING THIS ( also just playing Bombs Over Baghdad and in case anything gets its me hype ) I Very Borderlands like and the concept is A1!
Positive,Ok I am LOVING THIS (also playing Bombs and Earth in anything gets me hype) Very good RPG and the concept is A1!
Positive,Just uninstalled all of my other games to make space for Borderlands 3 . 
Positive,Just uninstall all my other games to make room for Borderlands 3.
Positive,Just deleted all my other games to make room for Borderlands 3.
Positive,Just uninstalled all of my other games will make space for Borderlands 3.
Positive,Just uninstalled all other of my my other games to make space for watching Borderlands 3.
Positive,Just uninstalled all of all other games in make space for Borderlands 3.
Neutral,"Already loving Bleeding Edge... what a clever game! Cross between Overwatch, Borderlands and Domination game mode. Cool as!. .  "
Neutral,"I love Bleeding Edge... what a clever game! Crossroads of Overwatch, Borderlands and Domination game mode. Cool as!.."
Neutral,"Cross between Overwatch, Borderlands and Domination game mode. Cool as!."
Neutral,"Already loving Bleeding Edge... what a fun game! Cross between Overwatch, Borderlands and Xbox game mode. Cool as!.."
Neutral,"Already also loving the Bleeding Edge... what is a clever game! Cross between Overwatch, Borderlands and Future Domination game mode. 2016 Cool out as!.."
Neutral,"Already played Bleeding Edge... what a clever game! Cross between fantasy, Borderlands non Domination game mode. Playing as!.."
Positive,Bioshock AND borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock And borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming to the desert bitch count me the fuck in
Positive,Bioshock Montana AND other borderlands Are coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming after your switch bitch count me the fuck in
Positive,Platinum is the best loot @Borderlands  
Positive,Platinum is the best booty @ Borderlands
Positive,Platinum is the best lot @ Borderlands
Positive,Platinum has the best loot @Borderlands
Positive,Platinum Rock is named the best loot @Borderlands
Positive,Platinum is the best loot the
Neutral,"For some reason, my laptop can run Borderlands 3, War thunder and Warframe all on high settings.. . BUT. . The moment I even try to even launch Csgo my entire computer crashes..."
Neutral,"For some reason my laptop can run Borderlands 3, War Thunder and Warframe at high settings... BUT.. the moment I even try to start Csgo, my entire computer crashes..."
Neutral,"For some reason, my laptop can run Borderlands 3, War Thunder, and Warframe at high settings.. BUT... The moment I even try to run CSgo, my whole computer breaks down..."
Neutral,"For some reason, my Firefox can run Borderlands 3, War thunder plus Warframe all on high settings... no.. The moment I even try to even launch Csgo its entire computer crashes..."
Neutral,"For some reason, my laptop can easily run Borderlands Volume 3, Chaos War thunder and Warframe all currently on high settings... A BUT.. A The moment I even dare try to even launch Csgo to my mind entire computer crashes..."
Neutral,"For some reason, my software can mount Act 3, War thunder King Thunder all on high speeds... BUT.. The moment I even try to even launch from my entire computer crashes..."
Positive,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Positive,Start streaming this morning! I'm still playing some of the Borderlands DLCs and vibrating to my new playlists I've made. Come vibe. I'm also lowering my quality to 720p to see if it makes a difference how well my stream runs on my stupid internet Lmao... twitch.tv / heyitscece _
Positive,Jon stream early today! Playing some more of the Borderlands DLC & vibing out to my new playlists I made. come vibe. Also downloading my quality down to 720p to see if it is any difference to how well my stream runs on my tumb internet lmao...
Positive,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Positive,the Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Positive,why
Neutral,i enter that gunner seat and i fear for my life
Neutral,I step into the trench and fear for my life
Neutral,i enter that gunner seat and i fear for my life
Neutral,i enter that gunner seat and actually fear for my life
Neutral,i then enter in that gunner seat and i fear for my life
Neutral,i enter that gunner seat and i fear for a life
Negative,fuck it .  pic.twitter.com/Wav1bacr5j
Negative,Fuck it. pic.twitter.com / Wav1bacr5j
Negative,fuck it. pic.wikipedia.org / Wav1bacr5j
Negative,fuck it .  pic.twitter.com/Wav1bacr5j
